Istwert Kraft F_X / N,Istwert Kraft F_Y / N,Istwert Kraft in Stoßrichtung F_Z / N,Istwert Moment M_A / Nm,Istwert Moment M_B  / Nm,Istwert Moment M_C / Nm,Istposition TCP X / mm,Istposition TCP Y / mm,Istposition TCP Z / mm,Istorientierung TCP A / °,Istorientierung TCP B / °,Istorientierung TCP C / °,Sollwert Vorschubgeschw. Soll_v_f / mm/min,Istwert Vorschubgeschwindigkeit v_f / mm/min,Sollwert Drehzahl Soll_n_sp / U/min,Istwert Spindeldrehzahl n_sp / U/min,Istwert Spindeldrehmoment M_sp / Nm,Istwert Spindelstrom I_sp / A,Sollwert Kraft in Stoßrichtung Soll_F_Z / N,Istwert Strom Achse 1 I_a1 / A,Istwert Strom Achse2 I_a2 / A,Istwert Strom Achse3 I_a3 / A,Istwert Strom Achse4 I_a4 / A,Istwert Strom Achse5 I_a5 / A,Istwert Strom Achse6 I_a6 / A,Istwert Moment Achse1 M_a1 / Nm,Istwert Moment Achse2 M_a2 / Nm,Istwert Moment Achse3 M_a3 / Nm,Istwert Moment Achse4 M_a4 / Nm,Istwert Moment Achse5 M_a5 / Nm,Istwert Moment Achse6 M_a6 / Nm
2.0,4.0,3.0,-0.667,0.781,0.703,616.042,2298.633,-137.08,-90.0,0.0,0.0,1500,0.0,0,2519.855,-17728.53,2.473,0,-0.779,2.212,-2.256,-2.068,-2.084,-3.249,442.212,1251.072,-1066.188,256.736,-286.108,-250.87
13.0,-3.0,17.0,1.509,2.337,0.606,616.042,2298.633,-137.098,-90.0,0.0,0.0,1500,0.0,0,2520.046,-15853.89,2.212,0,-0.805,2.206,-2.306,-2.066,-2.067,-3.261,456.76,1247.702,-1089.424,256.5,-283.751,-251.827
7.0,0.0,46.0,-0.97,2.407,0.747,616.041,2298.633,-137.116,-90.0,0.0,0.0,1500,0.0,0,2519.875,-17813.6,2.485,0,-0.856,2.252,-2.327,-2.065,-2.096,-3.25,485.858,1273.657,-1099.423,256.322,-287.679,-250.98
12.0,-10.0,75.0,2.197,1.536,0.571,616.042,2298.633,-137.134,-90.0,0.0,0.0,1500,0.0,0,2519.798,-16783.62,2.341,0,-0.852,2.302,-2.375,-2.068,-2.05,-3.256,483.658,1301.971,-1122.377,256.677,-281.33,-251.459
16.0,1.0,88.0,3.973,3.399,0.724,616.041,2298.633,-137.151,-90.0,0.0,0.0,1500,0.0,0,2519.703,-17506.73,2.442,0,-0.846,2.468,-2.343,-2.071,-2.084,-3.262,480.444,1395.848,-1107.027,257.151,-286.108,-251.864
-22.0,1.0,102.0,-8.611,-7.067,0.352,616.043,2298.633,-137.169,-90.0,0.0,0.0,1500,0.0,0,2519.684,-18324.04,2.556,0,-0.86,2.447,-2.402,-2.071,-1.992,-3.264,488.226,1383.545,-1135.193,257.151,-273.409,-252.048
56.0,0.0,133.0,12.553,17.84,0.999,616.046,2298.635,-137.187,-90.0,0.0,0.0,1500,0.0,0,2519.493,-18691.67,2.608,0,-0.872,2.511,-2.329,-2.061,-1.891,-3.257,494.824,1420.118,-1100.69,255.849,-259.598,-251.532
-63.0,-21.0,207.0,-10.005,-22.083,-0.254,616.039,2298.632,-137.235,-90.0,0.0,0.0,1500,0.0,0,2519.112,-19809.77,2.764,0,-0.912,12.885,-1.686,-2.044,-2.054,-3.26,517.662,7286.826,-796.789,253.717,-281.984,-251.753
92.0,9.0,403.0,23.667,45.683,1.926,616.008,2298.622,-137.366,-90.0,0.0,-0.01,1500,0.0,0,2519.016,-21429.19,2.99,0,-0.84,-7.79,-0.156,-2.045,-2.653,-3.252,476.892,-4405.467,-73.511,253.836,-364.197,-251.09
-123.0,-37.0,548.0,-7.086,-62.959,-0.562,616.008,2298.618,-137.378,-90.0,0.0,-0.01,1500,0.0,0,2518.597,-22039.89,3.075,0,-0.896,4.504,-2.125,-1.87,-2.827,-3.24,508.865,2546.808,-1004.225,232.111,-388.023,-250.207
