Time/s,Section,Flags,Istwert Kraft F_X / N,Istwert Kraft F_Y / N,Istwert Kraft in Stoßrichtung F_Z / N,Istwert Moment M_A / Nm,Istwert Moment M_B  / Nm,Istwert Moment M_C / Nm,Istposition TCP X / mm,Istposition TCP Y / mm,Istposition TCP Z / mm,Istorientierung TCP A / °,Istorientierung TCP B / °,Istorientierung TCP C / °,Sollwert Vorschubgeschw. Soll_v_f / mm/min,Istwert Vorschubgeschwindigkeit v_f / mm/min,Sollwert Drehzahl Soll_n_sp / U/min,Istwert Spindeldrehzahl n_sp / U/min,Parameter17 / ,Istwert Spindeldrehmoment M_sp / Nm,Parameter19 / ,Istwert Spindelstrom I_sp / A,Parameter21 / ,Sollwert Kraft in Stoßrichtung Soll_F_Z / N,Parameter23 / ,Parameter24 / ,Istwert Strom Achse 1 I_a1 / A,Istwert Strom Achse2 I_a2 / A,Istwert Strom Achse3 I_a3 / A,Istwert Strom Achse4 I_a4 / A,Istwert Strom Achse5 I_a5 / A,Istwert Strom Achse6 I_a6 / A,Istwert Moment Achse1 M_a1 / Nm,Istwert Moment Achse2 M_a2 / Nm,Istwert Moment Achse3 M_a3 / Nm,Istwert Moment Achse4 M_a4 / Nm,Istwert Moment Achse5 M_a5 / Nm,Istwert Moment Achse6 M_a6 / Nm,Parameter37 / ,Parameter38 / ,Parameter39 / ,Parameter40 / ,Unnamed: 43
0.0,1,2,-inf,-inf,-inf,-inf,-inf,-inf,573.24,2380.282,-133.75,-90.0,0.0,0.0,1500,0.0,0,2416.229,-inf,-101570.6,-inf,14.17,-inf,0,-inf,-inf,-1.313,0.617,-4.85,-0.802,0.962,-0.345,745.027,348.709,-2291.791,99.51,132.025,-26.659,-inf,-inf,-inf,-inf,
0.012,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.24,2380.282,-133.75,-90.0,0.0,0.0,1500,0.0,0,2449.112,-inf,-88265.9,-inf,12.314,-inf,0,-inf,-inf,-1.322,0.596,-4.873,-0.802,0.958,-0.358,750.44,336.911,-2302.775,99.569,131.501,-27.653,-inf,-inf,-inf,-inf,
0.024,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.24,2380.282,-133.75,-90.0,0.0,0.0,1500,0.0,0,2476.139,-inf,-71831.69,-inf,10.021,-inf,0,-inf,-inf,-1.328,0.588,-4.846,-0.791,0.972,-0.33,753.655,332.698,-2289.96,98.207,133.465,-25.444,-inf,-inf,-inf,-inf,
0.036,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.239,2380.282,-133.75,-90.0,0.0,0.0,1500,0.0,0,2497.769,-inf,-58323.37,-inf,8.137,-inf,0,-inf,-inf,-1.312,0.58,-4.861,-0.789,0.964,-0.33,744.689,327.81,-2297.001,97.971,132.286,-25.444,-inf,-inf,-inf,-inf,
0.048,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.239,2380.282,-133.75,-90.0,0.0,0.0,1500,0.0,0,2512.321,-inf,-42475.55,-inf,5.926,-inf,0,-inf,-inf,-1.333,0.623,-4.863,-0.787,0.976,-0.32,756.361,352.249,-2297.987,97.675,133.988,-24.745,-inf,-inf,-inf,-inf,
0.06,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.239,2380.281,-133.75,-90.0,0.0,0.0,1500,0.0,0,2522.259,-inf,-31987.31,-inf,4.462,-inf,0,-inf,-inf,-1.332,0.601,-4.873,-0.78,0.97,-0.315,756.023,339.945,-2302.493,96.787,133.137,-24.339,-inf,-inf,-inf,-inf,
0.072,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.238,2380.281,-133.75,-90.0,0.0,0.0,1500,0.0,0,2526.626,-inf,-20739.49,-inf,2.893,-inf,0,-inf,-inf,-1.307,0.603,-4.873,-0.767,0.978,-0.309,741.813,340.956,-2302.353,95.248,134.316,-23.861,-inf,-inf,-inf,-inf,
0.084,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.238,2380.281,-133.75,-90.0,0.0,0.0,1500,0.0,0,2527.294,-inf,-12937.12,-inf,1.805,-inf,0,-inf,-inf,-1.315,0.596,-4.872,-0.758,0.978,-0.286,746.211,336.911,-2302.071,94.123,134.25,-22.093,-inf,-inf,-inf,-inf,
0.096,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.238,2380.281,-133.75,-90.0,0.0,0.0,1500,0.0,0,2523.861,-inf,-9260.764,-inf,1.292,-inf,0,-inf,-inf,-1.293,0.608,-4.873,-0.753,0.986,-0.283,734.2,343.99,-2302.493,93.472,135.363,-21.872,-inf,-inf,-inf,-inf,
0.108,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.238,2380.281,-133.75,-90.0,0.0,0.0,1500,0.0,0,2519.379,-inf,-9163.538,-inf,1.278,-inf,0,-inf,-inf,-1.307,0.625,-4.875,-0.74,0.984,-0.288,742.151,353.26,-2303.479,91.814,135.036,-22.277,-inf,-inf,-inf,-inf,
0.12,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.237,2380.281,-133.75,-90.0,0.0,0.0,1500,0.0,0,2514.687,-inf,-13411.09,-inf,1.871,-inf,0,-inf,-inf,-1.263,0.59,-4.875,-0.731,0.977,-0.278,717.114,333.709,-2303.62,90.689,134.054,-21.431,-inf,-inf,-inf,-inf,
0.132,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.237,2380.281,-133.75,-90.0,0.0,0.0,1500,0.0,0,2511.387,-inf,-19062.35,-inf,2.659,-inf,0,-inf,-inf,-1.29,0.573,-4.882,-0.713,0.978,-0.272,732.001,324.271,-2306.859,88.558,134.25,-20.989,-inf,-inf,-inf,-inf,
0.144,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.237,2380.28,-133.75,-90.0,0.0,0.0,1500,0.0,0,2510.319,-inf,-22866.31,-inf,3.19,-inf,0,-inf,-inf,-1.257,0.618,-4.877,-0.738,0.976,-0.267,713.73,349.72,-2304.324,91.577,133.988,-20.584,-inf,-inf,-inf,-inf,
0.156,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.237,2380.28,-133.75,-90.0,0.0,0.0,1500,0.0,0,2510.662,-inf,-28599.6,-inf,3.99,-inf,0,-inf,-inf,-1.295,0.62,-4.873,-0.726,0.986,-0.252,735.215,350.563,-2302.493,90.098,135.363,-19.442,-inf,-inf,-inf,-inf,
0.168,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.237,2380.28,-133.75,-90.0,0.0,0.0,1500,0.0,0,2511.959,-inf,-28198.54,-inf,3.934,-inf,0,-inf,-inf,-1.271,0.612,-4.88,-0.717,0.993,-0.248,721.681,346.181,-2306.014,89.032,136.279,-19.148,-inf,-inf,-inf,-inf,
0.18,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.236,2380.28,-133.75,-90.0,0.0,0.0,1500,0.0,0,2515.259,-inf,-28165.12,-inf,3.929,-inf,0,-inf,-inf,-1.267,0.602,-4.885,-0.711,0.984,-0.232,719.313,340.451,-2308.267,88.322,135.101,-17.932,-inf,-inf,-inf,-inf,
0.192,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.236,2380.28,-133.75,-90.0,0.0,0.0,1500,0.0,0,2518.101,-inf,-24039.1,-inf,3.354,-inf,0,-inf,-inf,-1.258,0.65,-4.892,-0.719,0.999,-0.235,714.069,367.417,-2311.788,89.269,137.13,-18.153,-inf,-inf,-inf,-inf,
0.204,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.236,2380.28,-133.75,-90.0,0.0,0.0,1500,0.0,0,2520.123,-inf,-20548.08,-inf,2.867,-inf,0,-inf,-inf,-1.246,0.59,-4.888,-0.701,0.994,-0.232,707.471,333.878,-2309.535,87.078,136.476,-17.932,-inf,-inf,-inf,-inf,
0.216,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.236,2380.28,-133.75,-90.0,0.0,0.0,1500,0.0,0,2520.466,-inf,-18260.23,-inf,2.547,-inf,0,-inf,-inf,-1.25,0.603,-4.891,-0.687,0.979,-0.227,709.67,340.788,-2311.084,85.243,134.446,-17.564,-inf,-inf,-inf,-inf,
0.228,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.236,2380.28,-133.75,-90.0,0.0,0.0,1500,0.0,0,2520.123,-inf,-16175.95,-inf,2.257,-inf,0,-inf,-inf,-1.242,0.611,-4.849,-0.692,0.995,-0.223,704.933,345.507,-2291.086,85.954,136.607,-17.196,-inf,-inf,-inf,-inf,
0.24,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.236,2380.28,-133.75,-90.0,0.0,0.0,1500,0.0,0,2518.692,-inf,-16461.55,-inf,2.297,-inf,0,-inf,-inf,-1.232,0.62,-4.847,-0.697,1.008,-0.204,699.182,350.563,-2290.241,86.546,138.308,-15.723,-inf,-inf,-inf,-inf,
0.252,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.235,2380.28,-133.75,-90.0,0.0,0.0,1500,0.0,0,2517.681,-inf,-17637.38,-inf,2.461,-inf,0,-inf,-inf,-1.222,0.622,-4.9,-0.692,0.999,-0.197,693.599,351.574,-2315.308,85.954,137.13,-15.244,-inf,-inf,-inf,-inf,
0.264,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.235,2380.28,-133.75,-90.0,0.0,0.0,1500,0.0,0,2516.251,-inf,-18615.71,-inf,2.597,-inf,0,-inf,-inf,-1.221,0.62,-4.859,-0.662,1.011,-0.195,693.261,350.732,-2296.156,82.224,138.767,-15.06,-inf,-inf,-inf,-inf,
0.276,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.235,2380.28,-133.75,-90.0,0.0,0.0,1500,0.0,0,2516.098,-inf,-21444.38,-inf,2.992,-inf,0,-inf,-inf,-1.216,0.608,-4.89,-0.669,1.0,-0.195,690.046,343.653,-2310.661,83.053,137.261,-15.023,-inf,-inf,-inf,-inf,
0.288,1,3,-inf,-inf,-inf,-inf,-inf,-inf,573.235,2380.28,-133.75,-90.0,0.0,0.0,1500,0.0,0,2516.174,-inf,-20803.3,-inf,2.902,-inf,0,-inf,-inf,-1.192,0.623,-4.89,-0.673,1.013,-0.19,676.682,352.08,-2310.379,83.527,139.094,-14.692,-inf,-inf,-inf,-inf,
